Simbolo,Descrizione,Prezzo,Prezzo - Valuta,Settore,Capitalizzazione di mercato,Capitalizzazione di mercato - Valuta,Borsa del mercato
ALSYDB,AL Sydbank A/S,549.5,DKK,Finanza,7259298875.2284,USD,
DHER,Delivery Hero SE,20.53,EUR,Trasporti,7220034214.78435,USD,
BTRW,Barratt Redrow plc,377.3,GBX,Beni di consumo durevoli,7180760173.569599,USD,
R3NK,RENK Group AG,59.8,EUR,Tecnologia elettronica,7161366058.3806,USD,
SAGA_B,AB Sagax Class B,177.6,SEK,Finanza,7116862930.1322,USD,
WDP,Warehouses De Pauw SA,25.58,EUR,Finanza,7102438566.04985,USD,
AAK,AAK AB,247.6,SEK,Beni di consumo non durevoli,7070539520.3015995,USD,
KBCA,KBC Ancora SCA,78,EUR,Finanza,7040166669.8765,USD,
BC,Brunello Cucinelli S.p.A.,88.1,EUR,Beni di consumo non durevoli,7025418734.9656,USD,
TE,Technip Energies NV,34.12,EUR,Servizi industriali,7018474430.61835,USD,
DLG,De'Longhi S.p.A.,39.08,EUR,Beni di consumo durevoli,6920572680.7904005,USD,
CDR,CD Projekt S.A.,242.3,PLN,Servizi tecnologici,6803768248.4025,USD,
NKT,NKT A/S,799.5,DKK,Filiera di fabbricazione,6802381531.130899,USD,
LMP,LondonMetric Property Plc,213.6,GBX,Finanza,6720453434.0496,USD,
LAND,Land Securities Group PLC,667.4,GBX,Finanza,6684739667.664,USD,
PSN,Persimmon Plc,1528.5,GBX,Beni di consumo durevoli,6637834999.6463995,USD,
ICG,ICG plc,1721,GBX,Finanza,6620130230.846399,USD,
GFC,Gecina SA,76.25,EUR,Finanza,6610691293.368401,USD,
RILBA,Ringkjobing Landbobank A/S,1679,DKK,Finanza,6556606516.8175,USD,
PNDORA,Pandora A/S,544.4,DKK,Beni di consumo durevoli,6504853792.794499,USD,
GALE,Galenica AG,102.2,CHF,Servizi di distribuzione,6502160064.63,USD,
NEX,Nexans SA,126.2,EUR,Filiera di fabbricazione,6494530961.9051,USD,
ISS,ISS A/S,235.4,DKK,Servizi commerciali,6447132098.635799,USD,
HSX,Hiscox Ltd,1461,GBX,Finanza,6390883508.8476,USD,
ZAL,Zalando SE,20.6,EUR,Vendita al dettaglio,6328034616.70735,USD,
BBOX,Tritax Big Box REIT PLC,171.8,GBX,Varie,6299587523.6256,USD,
SCR,SCOR SE,30,EUR,Finanza,6275852796.5353,USD,
HOLM_B,Holmen AB Class B,356.2,SEK,Industrie di trasformazione,6274572748.8598,USD,
HWDN,Howden Joinery Group PLC,864.5,GBX,Beni di consumo durevoli,6258627510.011999,USD,
SFSN,SFS Group AG,122.6,CHF,Filiera di fabbricazione,6187189153.8888,USD,
IGG,IG Group Holdings plc,1354,GBX,Finanza,6172587337.2828,USD,
VALMT,Valmet Corp,28.37,EUR,Filiera di fabbricazione,6165964958.133551,USD,
WTB,Whitbread PLC,2686.6941,GBX,Servizi al consumatore,6159910879.1435995,USD,
LEG,LEG Immobilien SE,68.9,EUR,Finanza,6120549384.763451,USD,
SBMO,SBM Offshore NV,30.98,EUR,Servizi industriali,6099515775.58955,USD,
GETI_B,Getinge AB Class B,202.6,SEK,Tecnologia sanitaria,6094443723.4317,USD,
LTMC,Lottomatica Group S.P.A.,20.5,EUR,Servizi al consumatore,6076880489.635651,USD,
CTEC,ConvaTec Group Plc,229.0138,GBX,Tecnologia sanitaria,6010625113.5672,USD,
CAST,Castellum AB,114.05,SEK,Finanza,6009317312.0848,USD,
BGEO,Lion Finance Group PLC,10357.961,GBX,Finanza,5990089197.5316,USD,
DCC,DCC Plc,5135,GBX,Utenze,5963017195.099199,USD,
SIGN,SIG Group AG,11.97,CHF,Industrie di trasformazione,5948593520.0934,USD,
G24,Scout24 SE,71.6,EUR,Servizi commerciali,5947378281.3048,USD,
IMCD,IMCD N.V.,85.16,EUR,Servizi di distribuzione,5931969370.8121,USD,
DEMANT,Demant A/S,181.5,DKK,Tecnologia sanitaria,5929808341.6858,USD,
AZM,Azimut Holding Spa,35.46,EUR,Finanza,5919252799.3504,USD,
BRBY,Burberry Group plc,1258,GBX,Beni di consumo non durevoli,5857590730.4184,USD,
RAND,Randstad NV,27.89,EUR,Servizi commerciali,5808662553.348351,USD,
ALLFG,Allfunds Group plc,8.25,EUR,Finanza,5793250877.972301,USD,
GF,Georg Fischer AG,53.8,CHF,Filiera di fabbricazione,5741840828.6706,USD,
AZA,Avanza Bank Holding AB,333,SEK,Finanza,5737377094.5029,USD,
SWEC_B,Sweco AB Class B,144.1,SEK,Servizi industriali,5713045285.3866,USD,
VPK,Royal Vopak NV,43.56,EUR,Servizi di distribuzione,5708162918.182301,USD,
TEMN,Temenos AG,65,CHF,Servizi tecnologici,5686114653.1452,USD,
ZEG,Zegona Communications Plc,1840,GBX,Finanza,5670629111.722799,USD,
BLND,British Land Company PLC,420.7,GBX,Finanza,5645671757.82,USD,
CRDA,Croda International Plc,2982,GBX,Industrie di trasformazione,5643377067.2352,USD,
BKG,Berkeley Group Holdings plc,4320,GBX,Beni di consumo durevoli,5541990377.1924,USD,
MNDI,Mondi plc,905.2,GBX,Industrie di trasformazione,5499735113.796,USD,
TW.,Taylor Wimpey plc,114.78,GBX,Beni di consumo durevoli,5487835587.484799,USD,
FDJU,FDJ United,25.04,EUR,Servizi al consumatore,5469290689.21745,USD,
AUTO,Autotrader Group PLC,481.26,GBX,Servizi tecnologici,5399601423.5808,USD,
AKE,Arkema SA,59.95,EUR,Industrie di trasformazione,5391667209.99855,USD,
GBF,Bilfinger SE,123.2,EUR,Servizi industriali,5345697604.425651,USD,
VK,Vallourec SA,19.315,EUR,Minerali non energetici,5331235807.2573,USD,
DKSH,DKSH Holding Ltd,63,CHF,Servizi di distribuzione,5296426113.488999,USD,
JD.,JD Sports Fashion Plc,82.12,GBX,Vendita al dettaglio,5211228185.7996,USD,
JMAT,Johnson Matthey Plc,1949,GBX,Industrie di trasformazione,5208775626.57,USD,
FPE3,FUCHS SE Pref Registered Shs,36.98,EUR,Industrie di trasformazione,5197650743.86575,USD,
ABDN,Aberdeen Group plc,217.4,GBX,Finanza,5193041225.5056,USD,
UMI,Umicore SA,17.93,EUR,Minerali non energetici,5189252167.4228,USD,
AG1,AUTO1 Group SE,19.34,EUR,Servizi tecnologici,5083416004.6324005,USD,
BUCN,Bucher Industries AG,386,CHF,Filiera di fabbricazione,5077618566.2688,USD,
BBY,Balfour Beatty plc,777.9515,GBX,Servizi industriali,5050788508.8636,USD,
IP,Interpump Group S.p.A.,40.34,EUR,Filiera di fabbricazione,5040017973.828899,USD,
EDEN,Edenred SA,18.25,EUR,Servizi commerciali,5037093917.075101,USD,
RBREW,Royal Unibrew A/S,646.5,DKK,Beni di consumo non durevoli,5026420220.1928,USD,
ENT,Entain PLC,582,GBX,Servizi al consumatore,5011261286.479199,USD,
VEND,Vend Marketplaces ASA,235.4,NOK,Servizi tecnologici,4998295307.75679,USD,
ALLN,Allreal Holding AG,231.5,CHF,Finanza,4927210629.8412,USD,
BC8,Bechtle AG,33.34,EUR,Servizi tecnologici,4898331900,USD,
FLS,FLSmidth & Co. A/S,547.5,DKK,Minerali non energetici,4881472366.7567,USD,
TUI1,TUI AG,8.172,EUR,Servizi al consumatore,4858748885.165299,USD,
AMV0,Aumovio SE,41.4,EUR,Filiera di fabbricazione,4853683803.82195,USD,
